Year,Month ,Week ,Ex1_name ,Ex1_rep ,Ex1_coments ,Ex2_name ,Ex2_rep ,Ex2_coments ,Ex3_name ,Ex3_rep ,Ex3_coments ,Ex4_name ,Ex4_rep ,Ex4_coments ,Ex5_name ,Ex5_rep ,Ex5_coments ,Ex6_name ,Ex6_rep ,Ex6_coments ,Ex7_name ,Ex7_rep ,Ex7_coments ,Ex8_name ,Ex8_rep ,Ex8_coments ,Ex9_name ,Ex9_rep ,Ex9_coments 
2022,1,1,Berpi,6,,Hill climbing,12,,Air squat,13,,Ground to over-head,11,,scapula pushapps,10,,,0,,,0,,,0,,,0,
2022,1,2,Helf-Berpi,9,,jump squat,12,,hill climbing,15,,runing,13,,plank,10,,,0,,,0,,,0,,,0,
2022,1,3,Fast runing,6,,air squat,7,,jumping plank,7,,snow angel,13,,vi aps,9,,,0,,,0,,,0,,,0,
2022,1,4,jumping jacks,10,,air squat,7,,jumping plank,11,,snow angel,13,,vi aps,11,,,0,,,0,,,0,,,0,
2022,2,1,Berpi,9,,Hill climbing,15,,hill climbing,12,,runing,13,,plank,14,,,0,,,0,,,0,,,0,
2022,2,2,Helf-Berpi,7,,jump squat,7,,Air squat,10,,Ground to over-head,13,,scapula pushapps,11,,,0,,,0,,,0,,,0,
2022,2,3,Fast runing,13,,air squat,11,,Air squat,7,,Ground to over-head,9,,scapula pushapps,10,,,0,,,0,,,0,,,0,
2022,2,4,jumping jacks,6,,air squat,7,,hill climbing,11,,runing,7,,plank,14,,,0,,,0,,,0,,,0,
2022,3,1,Helf-Berpi,9,,jump squat,13,,jumping plank,7,,snow angel,8,,vi aps,11,,,0,,,0,,,0,,,0,
2022,3,2,Fast runing,7,,air squat,14,,jumping plank,9,,snow angel,14,,vi aps,7,,,0,,,0,,,0,,,0,
2022,3,3,Berpi,15,,air squat,9,,hill climbing,14,,runing,10,,plank,9,,,0,,,0,,,0,,,0,
2022,3,4,jumping jacks,12,,Hill climbing,6,,Air squat,13,,Ground to over-head,8,,scapula pushapps,7,,,0,,,0,,,0,,,0,
2022,4,1,Berpi,7,,Hill climbing,9,,Air squat,11,,Ground to over-head,9,,scapula pushapps,10,,,0,,,0,,,0,,,0,
2022,4,2,Helf-Berpi,11,,jump squat,13,,hill climbing,8,,runing,15,,plank,14,,,0,,,0,,,0,,,0,
2022,4,3,Fast runing,9,,air squat,11,,jumping plank,14,,snow angel,9,,vi aps,7,,,0,,,0,,,0,,,0,
2022,4,4,jumping jacks,9,,air squat,15,,jumping plank,12,,snow angel,14,,vi aps,9,,,0,,,0,,,0,,,0,
2022,5,1,Berpi,10,,Hill climbing,8,,hill climbing,9,,runing,9,,plank,9,,,0,,,0,,,0,,,0,
2022,5,2,Helf-Berpi,10,,jump squat,6,,Air squat,8,,Ground to over-head,12,,scapula pushapps,10,,,0,,,0,,,0,,,0,
2022,5,3,Fast runing,6,,air squat,13,,Air squat,12,,Ground to over-head,15,,scapula pushapps,12,,,0,,,0,,,0,,,0,
2022,5,4,jumping jacks,14,,air squat,9,,hill climbing,6,,runing,10,,plank,13,,,0,,,0,,,0,,,0,
2022,6,1,Helf-Berpi,11,,jump squat,14,,jumping plank,13,,snow angel,8,,vi aps,15,,,0,,,0,,,0,,,0,
2022,6,2,Fast runing,15,,air squat,12,,jumping plank,9,,snow angel,9,,vi aps,9,,,0,,,0,,,0,,,0,
2022,6,3,Berpi,9,,air squat,9,,hill climbing,12,,runing,15,,plank,9,,,0,,,0,,,0,,,0,
2022,6,4,jumping jacks,10,,Hill climbing,13,,Air squat,8,,Ground to over-head,15,,scapula pushapps,12,,,0,,,0,,,0,,,0,
2022,7,1,Berpi,14,,Hill climbing,8,,Air squat,7,,Ground to over-head,13,,scapula pushapps,10,,,0,,,0,,,0,,,0,
2022,7,2,Helf-Berpi,13,,jump squat,13,,hill climbing,6,,runing,15,,plank,7,,,0,,,0,,,0,,,0,
2022,7,3,Fast runing,7,,air squat,13,,jumping plank,9,,snow angel,9,,vi aps,6,,,0,,,0,,,0,,,0,
2022,7,4,jumping jacks,11,,air squat,13,,jumping plank,12,,snow angel,10,,vi aps,14,,,0,,,0,,,0,,,0,
2022,8,1,Berpi,6,,Hill climbing,10,,hill climbing,8,,runing,9,,plank,10,,,0,,,0,,,0,,,0,
2022,8,2,Helf-Berpi,15,,jump squat,12,,Air squat,9,,Ground to over-head,15,,scapula pushapps,10,,,0,,,0,,,0,,,0,
2022,8,3,Fast runing,10,,air squat,10,,Air squat,6,,Ground to over-head,6,,scapula pushapps,6,,,0,,,0,,,0,,,0,
2022,8,4,jumping jacks,8,,air squat,6,,hill climbing,11,,runing,14,,plank,9,,,0,,,0,,,0,,,0,
2022,9,1,Helf-Berpi,7,,jump squat,9,,jumping plank,11,,snow angel,11,,vi aps,6,,,0,,,0,,,0,,,0,
2022,9,2,Fast runing,7,,air squat,7,,jumping plank,12,,snow angel,12,,vi aps,12,,,0,,,0,,,0,,,0,
2022,9,3,Berpi,7,,air squat,10,,hill climbing,6,,runing,11,,plank,8,,,0,,,0,,,0,,,0,
2022,9,4,jumping jacks,11,,Hill climbing,9,,Air squat,6,,Ground to over-head,13,,scapula pushapps,11,,,0,,,0,,,0,,,0,
2022,10,1,Berpi,9,,Hill climbing,12,,Air squat,8,,Ground to over-head,7,,scapula pushapps,12,,,0,,,0,,,0,,,0,
2022,10,2,Helf-Berpi,6,,jump squat,13,,hill climbing,10,,runing,9,,plank,14,,,0,,,0,,,0,,,0,
2022,10,3,Fast runing,15,,air squat,6,,jumping plank,12,,snow angel,11,,vi aps,7,,,0,,,0,,,0,,,0,
2022,10,4,jumping jacks,11,,air squat,6,,jumping plank,12,,snow angel,10,,vi aps,12,,,0,,,0,,,0,,,0,
2022,11,1,Berpi,15,,Hill climbing,15,,hill climbing,15,,runing,14,,plank,12,,,0,,,0,,,0,,,0,
2022,11,2,Helf-Berpi,14,,jump squat,9,,Air squat,15,,Ground to over-head,6,,scapula pushapps,8,,,0,,,0,,,0,,,0,
2022,11,3,Fast runing,14,,air squat,14,,Air squat,14,,Ground to over-head,9,,scapula pushapps,14,,,0,,,0,,,0,,,0,
2022,11,4,jumping jacks,6,,air squat,9,,hill climbing,9,,runing,12,,plank,8,,,0,,,0,,,0,,,0,
2022,12,1,Helf-Berpi,15,,jump squat,7,,jumping plank,14,,snow angel,11,,vi aps,13,,,0,,,0,,,0,,,0,
2022,12,2,Fast runing,12,,air squat,6,,jumping plank,14,,snow angel,9,,vi aps,11,,,0,,,0,,,0,,,0,
2022,12,3,Berpi,6,,air squat,13,,hill climbing,8,,runing,9,,plank,8,,,0,,,0,,,0,,,0,
2022,12,4,jumping jacks,7,,Hill climbing,9,,Air squat,9,,Ground to over-head,9,,scapula pushapps,13,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,
