Year,Month ,Week ,Ex1_name ,Ex1_rep ,Ex1_coments ,Ex2_name ,Ex2_rep ,Ex2_coments ,Ex3_name ,Ex3_rep ,Ex3_coments ,Ex4_name ,Ex4_rep ,Ex4_coments ,Ex5_name ,Ex5_rep ,Ex5_coments ,Ex6_name ,Ex6_rep ,Ex6_coments ,Ex7_name ,Ex7_rep ,Ex7_coments ,Ex8_name ,Ex8_rep ,Ex8_coments ,Ex9_name ,Ex9_rep ,Ex9_coments 
2022,1,1,vi-aps,9,,suitcase carry,11,,jefreson carls,6,,routation,12,,plank,10,,butterfly sit,6,,holo,7,,butchters bloks,12,,,0,
2022,1,2,kozack squat,15,,back squat,6,,y trx,9,,over-head carry,12,,x vi-aps,8,,rigth sit,7,,shpagat,13,,bird position,11,,,0,
2022,1,3,ststic bycicle,12,,half sissers,7,,pinguins,6,,plank,13,,leg rise,15,,touse touch,10,,y trx,10,,vi-aps,15,,,0,
2022,1,4,vi-aps,11,,suitcase carry,6,,jefreson carls,10,,routation,13,,plank,8,,butterfly sit,6,,holo,12,,butchters bloks,7,,,0,
2022,2,1,kozack squat,15,,back squat,10,,y trx,9,,over-head carry,9,,x vi-aps,10,,rigth sit,12,,shpagat,9,,bird position,6,,,0,
2022,2,2,ststic bycicle,8,,half sissers,13,,pinguins,10,,plank,12,,leg rise,7,,touse touch,6,,y trx,13,,vi-aps,13,,,0,
2022,2,3,vi-aps,13,,suitcase carry,7,,jefreson carls,6,,routation,15,,plank,10,,butterfly sit,6,,holo,7,,butchters bloks,7,,,0,
2022,2,4,kozack squat,15,,back squat,8,,y trx,15,,over-head carry,11,,x vi-aps,10,,rigth sit,9,,shpagat,14,,bird position,7,,,0,
2022,3,1,ststic bycicle,14,,half sissers,10,,pinguins,9,,plank,11,,leg rise,6,,touse touch,12,,y trx,9,,vi-aps,15,,,0,
2022,3,2,vi-aps,9,,suitcase carry,10,,jefreson carls,8,,routation,8,,plank,14,,butterfly sit,11,,holo,8,,butchters bloks,8,,,0,
2022,3,3,kozack squat,14,,back squat,15,,y trx,15,,over-head carry,8,,x vi-aps,12,,rigth sit,8,,shpagat,10,,bird position,11,,,0,
2022,3,4,ststic bycicle,11,,half sissers,10,,pinguins,10,,plank,7,,leg rise,7,,touse touch,7,,y trx,7,,vi-aps,13,,,0,
2022,4,1,vi-aps,7,,suitcase carry,6,,jefreson carls,15,,routation,6,,plank,13,,butterfly sit,14,,holo,15,,butchters bloks,15,,,0,
2022,4,2,kozack squat,13,,back squat,13,,y trx,8,,over-head carry,12,,x vi-aps,12,,rigth sit,13,,shpagat,7,,bird position,8,,,0,
2022,4,3,ststic bycicle,13,,half sissers,9,,pinguins,15,,plank,7,,leg rise,13,,touse touch,15,,y trx,14,,vi-aps,9,,,0,
2022,4,4,vi-aps,13,,suitcase carry,15,,jefreson carls,14,,routation,13,,plank,11,,butterfly sit,13,,holo,14,,butchters bloks,15,,,0,
2022,5,1,kozack squat,12,,back squat,9,,y trx,6,,over-head carry,9,,x vi-aps,15,,rigth sit,7,,shpagat,6,,bird position,13,,,0,
2022,5,2,ststic bycicle,11,,half sissers,8,,pinguins,11,,plank,11,,leg rise,9,,touse touch,10,,y trx,13,,vi-aps,15,,,0,
2022,5,3,vi-aps,10,,suitcase carry,14,,jefreson carls,15,,routation,13,,plank,8,,butterfly sit,9,,holo,12,,butchters bloks,6,,,0,
2022,5,4,kozack squat,8,,back squat,7,,y trx,13,,over-head carry,11,,x vi-aps,15,,rigth sit,7,,shpagat,7,,bird position,7,,,0,
2022,6,1,ststic bycicle,12,,half sissers,6,,pinguins,9,,plank,6,,leg rise,15,,touse touch,10,,y trx,14,,vi-aps,14,,,0,
2022,6,2,ststic bycicle,13,,suitcase carry,6,,jefreson carls,10,,routation,15,,plank,9,,butterfly sit,6,,holo,6,,butchters bloks,8,,,0,
2022,6,3,vi-aps,12,,back squat,14,,y trx,12,,over-head carry,12,,x vi-aps,10,,rigth sit,15,,shpagat,7,,bird position,9,,,0,
2022,6,4,kozack squat,14,,half sissers,9,,pinguins,10,,plank,11,,leg rise,13,,touse touch,8,,y trx,12,,vi-aps,13,,,0,
2022,7,1,ststic bycicle,11,,suitcase carry,6,,jefreson carls,9,,routation,8,,plank,8,,butterfly sit,9,,holo,9,,butchters bloks,14,,,0,
2022,7,2,vi-aps,7,,back squat,9,,y trx,14,,over-head carry,10,,x vi-aps,10,,rigth sit,8,,shpagat,12,,bird position,12,,,0,
2022,7,3,kozack squat,15,,half sissers,10,,pinguins,6,,plank,6,,leg rise,14,,touse touch,10,,y trx,11,,vi-aps,12,,,0,
2022,7,4,ststic bycicle,10,,suitcase carry,6,,jefreson carls,10,,routation,13,,plank,11,,butterfly sit,8,,holo,10,,butchters bloks,10,,,0,
2022,8,1,vi-aps,14,,back squat,14,,y trx,14,,over-head carry,15,,x vi-aps,7,,rigth sit,9,,shpagat,11,,bird position,9,,,0,
2022,8,2,kozack squat,11,,half sissers,6,,pinguins,7,,plank,6,,leg rise,13,,touse touch,9,,y trx,13,,vi-aps,8,,,0,
2022,8,3,ststic bycicle,11,,suitcase carry,12,,jefreson carls,10,,routation,8,,plank,11,,butterfly sit,6,,holo,7,,butchters bloks,7,,,0,
2022,8,4,vi-aps,15,,back squat,9,,y trx,7,,over-head carry,14,,x vi-aps,7,,rigth sit,10,,shpagat,12,,bird position,15,,,0,
2022,9,1,kozack squat,12,,half sissers,10,,pinguins,15,,plank,15,,leg rise,9,,touse touch,15,,y trx,7,,vi-aps,14,,,0,
2022,9,2,ststic bycicle,12,,suitcase carry,13,,jefreson carls,10,,routation,14,,plank,12,,butterfly sit,13,,holo,12,,butchters bloks,8,,,0,
2022,9,3,vi-aps,14,,back squat,12,,y trx,11,,over-head carry,11,,x vi-aps,6,,rigth sit,7,,shpagat,11,,bird position,6,,,0,
2022,9,4,kozack squat,13,,half sissers,13,,pinguins,6,,plank,13,,leg rise,9,,touse touch,15,,y trx,8,,vi-aps,10,,,0,
2022,10,1,ststic bycicle,7,,suitcase carry,6,,jefreson carls,6,,routation,8,,plank,13,,butterfly sit,8,,holo,8,,butchters bloks,6,,,0,
2022,10,2,vi-aps,9,,back squat,11,,y trx,11,,over-head carry,12,,x vi-aps,7,,rigth sit,11,,shpagat,10,,bird position,10,,,0,
2022,10,3,kozack squat,10,,half sissers,11,,pinguins,8,,plank,6,,leg rise,12,,touse touch,11,,y trx,8,,vi-aps,12,,,0,
2022,10,4,ststic bycicle,13,,suitcase carry,9,,jefreson carls,13,,routation,11,,plank,8,,butterfly sit,9,,holo,11,,butchters bloks,15,,,0,
2022,11,1,vi-aps,6,,back squat,15,,y trx,9,,over-head carry,6,,x vi-aps,14,,rigth sit,12,,shpagat,14,,bird position,8,,,0,
2022,11,2,kozack squat,7,,half sissers,8,,pinguins,11,,plank,7,,leg rise,11,,touse touch,15,,y trx,14,,vi-aps,15,,,0,
2022,11,3,ststic bycicle,9,,suitcase carry,11,,jefreson carls,6,,routation,8,,plank,12,,butterfly sit,8,,holo,13,,butchters bloks,6,,,0,
2022,11,4,ststic bycicle,6,,back squat,7,,y trx,9,,over-head carry,14,,x vi-aps,13,,rigth sit,14,,shpagat,7,,bird position,12,,,0,
2022,12,1,vi-aps,6,,half sissers,8,,pinguins,13,,plank,15,,leg rise,7,,touse touch,6,,y trx,12,,vi-aps,13,,,0,
2022,12,2,kozack squat,6,,suitcase carry,8,,jefreson carls,9,,routation,13,,plank,8,,butterfly sit,8,,holo,14,,butchters bloks,15,,,0,
2022,12,3,ststic bycicle,7,,back squat,9,,y trx,15,,over-head carry,9,,x vi-aps,11,,rigth sit,14,,shpagat,13,,bird position,11,,,0,
2022,12,4,vi-aps,11,,half sissers,14,,pinguins,13,,plank,14,,leg rise,11,,touse touch,12,,y trx,11,,vi-aps,9,,,0,
,,,,,,,,,,,,,,,,,,,7,,holo,9,,butchters bloks,6,,,0,
