Year,Month ,Week ,Ex1_name ,Ex1_rep ,Ex1_coments ,Ex2_name ,Ex2_rep ,Ex2_coments ,Ex3_name ,Ex3_rep ,Ex3_coments ,Ex4_name ,Ex4_rep ,Ex4_coments ,Ex5_name ,Ex5_rep ,Ex5_coments ,Ex6_name ,Ex6_rep ,Ex6_coments ,Ex7_name ,Ex7_rep ,Ex7_coments ,Ex8_name ,Ex8_rep ,Ex8_coments ,Ex9_name ,Ex9_rep ,Ex9_coments 
2022,1,1,Squat,6,tempo,pullupps,14,second round - tempo,shulder press,8,second round - tempo,static lunch,10,pause ,width lunch,14,pause ,box jump,11,tempo,farmer walk,13,tempo,squat,6,pause ,hipp push,11,tempo
2022,1,2,Squat,13,pause ,pullupps,7,pause ,lunch,6,pause ,shoulder press,13,tempo,plank,9,tempo,air squat,14,max weigth,half berpi,8,max weigth,ladder plank,11,tempo,shulder bend,15,pause 
2022,1,3,Squat,12,tempo,pullupps,7,tempo,paluf press,14,tempo,high lunch,13,max weigth,feet touch,15,max weigth,bycicle,6,second round - tempo,holo,6,second round - tempo,mini squat,10,max weigth,plank ,15,tempo
2022,1,4,Squat,15,max weigth,pullupps,6,max weigth,pake,11,max weigth,side plank,9,second round - tempo,jumping jacks,10,second round - tempo,holo,8,second round - tempo,gefresson carls,8,second round - tempo,one-leg-squat,15,second round - tempo,suitcase walk,7,max weigth
2022,2,1,Squat,15,second round - tempo,pullupps,12,second round - tempo,overhead,6,second round - tempo,box jump,9,second round - tempo,shoulder press,10,second round - tempo,holo kurl upp,14,second round - tempo,side-plank,10,second round - tempo,squat,8,second round - tempo,albo push,13,second round - tempo
2022,2,2,Squat,10,,pullupps,15,second round - tempo,pushpress,6,second round - tempo,static lunch,11,second round - tempo,width lunch,12,second round - tempo,box jump,9,pause ,farmer walk,10,pause ,ladder plank,6,second round - tempo,hipp push,9,
2022,2,3,Squat,9,,pullupps,7,second round - tempo,shulder press,15,second round - tempo,shoulder press,10,pause ,plank,15,pause ,air squat,12,tempo,half berpi,8,tempo,mini squat,6,pause ,shulder bend,9,
2022,2,4,Squat,13,pause ,pullupps,12,pause ,lunch,13,pause ,high lunch,9,tempo,feet touch,15,tempo,bycicle,15,second round - tempo,holo,8,second round - tempo,one-leg-squat,11,tempo,plank ,11,pause 
2022,3,1,Squat,10,tempo,pullupps,13,tempo,paluf press,13,tempo,side plank,11,second round - tempo,jumping jacks,15,second round - tempo,holo,7,pause ,gefresson carls,8,pause ,squat,7,second round - tempo,suitcase walk,14,tempo
2022,3,2,Squat,8,max weigth,pullupps,14,second round - tempo,pake,10,second round - tempo,box jump,13,pause ,shoulder press,14,pause ,holo kurl upp,6,tempo,side-plank,10,tempo,ladder plank,12,pause ,albo push,11,max weigth
2022,3,3,Squat,10,second round - tempo,pullupps,6,pause ,overhead,15,pause ,static lunch,6,tempo,width lunch,14,tempo,box jump,8,max weigth,farmer walk,15,max weigth,mini squat,13,tempo,hipp push,11,second round - tempo
2022,3,4,Squat,14,,pullupps,11,tempo,pushpress,15,tempo,shoulder press,8,max weigth,plank,15,max weigth,air squat,10,max weigth,half berpi,7,max weigth,one-leg-squat,8,max weigth,shulder bend,10,
2022,4,1,Squat,14,,pullupps,8,max weigth,shulder press,11,max weigth,high lunch,6,max weigth,feet touch,11,max weigth,bycicle,14,pause ,holo,14,pause ,squat,15,max weigth,plank ,13,
2022,4,2,Squat,12,pause ,pullupps,15,second round - tempo,lunch,11,second round - tempo,side plank,12,second round - tempo,jumping jacks,7,second round - tempo,holo,13,tempo,gefresson carls,8,tempo,ladder plank,6,second round - tempo,suitcase walk,6,pause 
2022,4,3,Squat,8,tempo,pullupps,12,pause ,paluf press,13,pause ,box jump,15,pause ,shoulder press,10,pause ,holo kurl upp,8,max weigth,side-plank,6,max weigth,mini squat,13,pause ,albo push,6,tempo
2022,4,4,Squat,9,max weigth,pullupps,8,tempo,pake,10,tempo,static lunch,12,tempo,width lunch,13,tempo,box jump,9,second round - tempo,farmer walk,13,second round - tempo,one-leg-squat,6,tempo,hipp push,10,max weigth
2022,5,1,Squat,15,second round - tempo,pullupps,12,max weigth,overhead,7,max weigth,shoulder press,7,max weigth,plank,8,max weigth,air squat,12,second round - tempo,half berpi,15,second round - tempo,squat,9,max weigth,shulder bend,15,second round - tempo
2022,5,2,Squat,13,,pullupps,11,second round - tempo,pushpress,15,second round - tempo,high lunch,6,second round - tempo,feet touch,7,second round - tempo,bycicle,14,second round - tempo,holo,7,second round - tempo,ladder plank,10,second round - tempo,plank ,13,
2022,5,3,Squat,12,,pullupps,13,pause ,shulder press,15,pause ,side plank,14,pause ,jumping jacks,12,pause ,holo,13,pause ,gefresson carls,13,pause ,mini squat,15,pause ,suitcase walk,6,
2022,5,4,Squat,14,pause ,pullupps,7,tempo,lunch,8,tempo,box jump,14,tempo,shoulder press,15,tempo,holo kurl upp,11,tempo,side-plank,11,tempo,one-leg-squat,8,tempo,albo push,6,pause 
2022,6,1,Squat,6,tempo,pullupps,11,max weigth,paluf press,7,max weigth,static lunch,10,max weigth,width lunch,7,max weigth,box jump,10,second round - tempo,farmer walk,13,second round - tempo,squat,15,max weigth,hipp push,13,tempo
2022,6,2,Squat,7,max weigth,pullupps,12,second round - tempo,pake,14,second round - tempo,shoulder press,8,second round - tempo,plank,10,second round - tempo,air squat,10,pause ,half berpi,8,pause ,ladder plank,9,second round - tempo,shulder bend,13,max weigth
2022,6,3,Squat,11,second round - tempo,pullupps,9,pause ,overhead,9,pause ,high lunch,15,pause ,feet touch,6,pause ,bycicle,7,tempo,holo,10,tempo,mini squat,14,pause ,plank ,8,second round - tempo
2022,6,4,Squat,13,,pullupps,7,tempo,pushpress,12,tempo,side plank,9,tempo,jumping jacks,7,tempo,holo,11,max weigth,gefresson carls,9,max weigth,one-leg-squat,10,tempo,suitcase walk,10,
2022,7,1,Squat,15,,pullupps,8,max weigth,shulder press,10,max weigth,box jump,7,max weigth,shoulder press,6,max weigth,holo kurl upp,6,max weigth,side-plank,8,max weigth,squat,11,max weigth,albo push,11,
2022,7,2,Squat,13,pause ,pullupps,13,second round - tempo,lunch,8,second round - tempo,static lunch,8,second round - tempo,width lunch,6,second round - tempo,box jump,14,second round - tempo,farmer walk,14,second round - tempo,ladder plank,8,second round - tempo,hipp push,6,pause 
2022,7,3,Squat,13,tempo,pullupps,6,pause ,paluf press,8,pause ,shoulder press,7,pause ,plank,10,pause ,air squat,10,pause ,half berpi,11,pause ,mini squat,7,pause ,shulder bend,8,tempo
2022,7,4,Squat,8,max weigth,pullupps,15,tempo,pake,8,tempo,high lunch,13,tempo,feet touch,9,tempo,bycicle,7,tempo,holo,15,tempo,one-leg-squat,6,tempo,plank ,13,max weigth
2022,8,1,Squat,15,second round - tempo,pullupps,9,max weigth,overhead,10,max weigth,side plank,14,max weigth,jumping jacks,7,max weigth,holo,12,max weigth,gefresson carls,14,max weigth,squat,12,max weigth,suitcase walk,10,second round - tempo
2022,8,2,Squat,7,,pullupps,14,second round - tempo,pushpress,6,second round - tempo,box jump,11,second round - tempo,shoulder press,8,second round - tempo,holo kurl upp,12,second round - tempo,side-plank,10,second round - tempo,ladder plank,6,second round - tempo,albo push,10,
2022,8,3,Squat,8,,pullupps,7,pause ,shulder press,6,pause ,static lunch,10,pause ,width lunch,10,pause ,box jump,15,pause ,farmer walk,13,pause ,mini squat,6,pause ,hipp push,11,
